"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"09/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"08/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"07/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"06/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"05/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"04/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"03/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"02/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"01/01/2022","81.46","81.46","81.46","81.46","","0.00%"
"12/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"11/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"10/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"09/01/2021","81.46","80.41","80.74","80.01","","0.00%"
"08/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"07/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"06/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"05/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"04/01/2021","81.46","81.46","81.46","81.46","","0.00%"
"03/01/2021","81.46","79.64","81.57","79.25","","0.77%"
"02/01/2021","80.84","76.58","80.86","76.40","","5.55%"
"01/01/2021","76.59","75.79","77.82","75.52","","1.36%"
"12/01/2020","75.56","75.43","76.47","75.35","","0.11%"
"11/01/2020","75.48","75.80","76.88","74.70","","-0.49%"
"10/01/2020","75.85","74.61","75.90","74.16","","1.77%"
"09/01/2020","74.53","74.80","74.97","74.03","","-0.36%"
"08/01/2020","74.80","74.09","75.39","73.69","","1.03%"
"07/01/2020","74.04","75.18","75.48","73.96","","-1.19%"
"06/01/2020","74.93","75.30","77.74","74.72","","-0.46%"
"05/01/2020","75.28","75.49","76.41","74.90","","0.00%"
"04/01/2020","75.28","75.40","77.14","74.89","","-0.76%"
"03/01/2020","75.86","80.45","81.30","74.02","","-6.06%"
"02/01/2020","80.75","84.86","86.31","80.69","","-4.57%"
"01/01/2020","84.62","88.95","89.17","84.62","","-4.66%"
"12/01/2019","88.76","88.02","89.45","86.43","","1.43%"
"11/01/2019","87.51","86.05","88.98","85.79","","1.59%"
"10/01/2019","86.14","86.23","87.69","83.80","","0.13%"
"09/01/2019","86.03","84.04","87.96","83.14","","2.27%"
"08/01/2019","84.12","89.05","89.18","83.47","","-5.05%"
"07/01/2019","88.59","88.44","89.61","87.27","","0.73%"
"06/01/2019","87.95","89.31","89.84","87.42","","-2.26%"
"05/01/2019","89.98","93.28","94.42","89.53","","-3.52%"
"04/01/2019","93.26","92.74","94.79","92.46","","1.00%"
"03/01/2019","92.34","95.72","96.20","91.18","","-3.46%"
"02/01/2019","95.65","94.33","95.69","94.18","","1.25%"
"01/01/2019","94.47","94.90","96.32","93.17","","-0.68%"
"12/01/2018","95.12","99.23","99.26","95.04","","-3.70%"
"11/01/2018","98.77","100.54","101.67","98.54","","-1.66%"
"10/01/2018","100.44","99.98","102.10","99.27","","0.72%"
"09/01/2018","99.72","97.50","100.53","97.28","","2.65%"
"08/01/2018","97.15","98.86","99.25","96.61","","-1.50%"
"07/01/2018","98.63","97.14","98.95","96.71","","1.30%"
"06/01/2018","97.36","97.46","98.92","96.84","","0.29%"
"05/01/2018","97.08","98.67","100.71","96.37","","-1.59%"
"04/01/2018","98.65","96.16","99.55","95.84","","2.67%"
"03/01/2018","96.08","97.52","97.98","95.70","","-1.76%"
"02/01/2018","97.80","96.37","98.55","95.15","","1.59%"
"01/01/2018","96.27","92.35","96.28","92.32","","4.30%"
"12/01/2017","92.30","92.07","93.16","90.96","","0.46%"
"11/01/2017","91.88","91.29","91.95","90.43","","0.77%"
"10/01/2017","91.18","90.88","92.23","89.90","","0.85%"
"09/01/2017","90.41","88.14","90.88","86.97","","2.45%"
"08/01/2017","88.25","90.13","90.29","87.67","","-1.89%"
"07/01/2017","89.95","90.64","91.51","89.31","","-0.20%"
"06/01/2017","90.13","89.49","90.34","87.98","","0.69%"
"05/01/2017","89.51","90.71","91.96","89.08","","-1.38%"
"04/01/2017","90.76","92.21","92.23","89.47","","-1.62%"
"03/01/2017","92.25","92.78","94.99","91.59","","0.37%"
"02/01/2017","91.91","93.40","94.11","91.42","","-1.13%"
"01/01/2017","92.96","93.80","94.42","91.69","","-0.75%"
"12/01/2016","93.66","93.26","96.16","92.57","","0.43%"
"11/01/2016","93.26","87.07","93.68","85.92","","7.20%"
"10/01/2016","87.00","84.96","87.49","84.80","","2.62%"
"09/01/2016","84.78","85.41","86.31","84.15","","-0.57%"
"08/01/2016","85.27","83.98","85.75","83.68","","1.66%"
"07/01/2016","83.88","83.35","85.56","82.26","","0.14%"
"06/01/2016","83.76","88.26","88.36","83.22","","-5.30%"
"05/01/2016","88.45","87.82","88.89","86.33","","0.55%"
"04/01/2016","87.97","87.57","89.12","86.30","","0.31%"
"03/01/2016","87.70","87.20","90.64","87.14","","0.31%"
"02/01/2016","87.43","88.89","89.62","84.53","","-1.87%"
"01/01/2016","89.10","93.95","94.18","89.01","","-5.68%"
"12/01/2015","94.47","93.88","95.41","92.59","","0.90%"
"11/01/2015","93.63","92.69","95.70","92.67","","0.84%"
"10/01/2015","92.85","91.51","93.12","89.54","","1.56%"
"09/01/2015","91.42","93.60","94.56","91.37","","-2.28%"
"08/01/2015","93.55","94.12","95.45","90.62","","-0.70%"
"07/01/2015","94.21","96.54","97.69","93.97","","-1.95%"
"06/01/2015","96.08","94.23","98.82","93.97","","2.04%"
"05/01/2015","94.16","94.10","97.11","94.03","","-0.31%"
"04/01/2015","94.45","93.22","94.74","91.64","","1.27%"
"03/01/2015","93.27","95.13","97.61","92.53","","-1.70%"
"02/01/2015","94.88","91.44","96.90","91.22","","3.82%"
"01/01/2015","91.39","97.87","98.04","91.31","","-6.30%"
"12/01/2014","97.53","95.67","99.44","95.07","","0.32%"
"11/01/2014","97.22","98.83","99.95","96.96","","-2.02%"
"10/01/2014","99.22","101.87","101.89","92.91","","-2.51%"
"09/01/2014","101.77","100.55","103.86","100.29","","1.62%"
"08/01/2014","100.15","103.15","103.38","99.42","","-2.85%"
"07/01/2014","103.09","102.43","104.37","101.54","","0.82%"
"06/01/2014","102.25","102.00","104.47","101.87","","0.39%"
"05/01/2014","101.85","105.05","105.83","100.97","","-2.81%"
"04/01/2014","104.79","106.53","107.58","103.98","","-1.48%"
"03/01/2014","106.36","104.09","107.09","103.85","","1.61%"
"02/01/2014","104.67","105.61","106.60","104.32","","-0.57%"
"01/01/2014","105.27","109.99","110.21","105.27","","-4.88%"
"12/01/2013","110.67","107.05","110.67","106.78","","3.93%"
"11/01/2013","106.49","106.26","107.76","105.47","","0.96%"
"10/01/2013","105.48","107.48","108.03","104.66","","-1.21%"
"09/01/2013","106.77","112.11","114.31","106.77","","-3.99%"
"08/01/2013","111.21","111.45","113.31","110.61","","33.99%"