"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 23","69.50","68.64","72.24","63.94","3.19M","-0.87%"
"Dec 22","70.11","71.64","72.14","61.81","93.51M","-0.17%"
"Nov 22","70.23","73.80","77.72","65.00","88.21M","-1.82%"
"Oct 22","71.53","68.60","76.11","67.17","63.99M","9.57%"
"Sep 22","65.28","72.09","73.72","63.15","85.96M","-10.71%"
"Aug 22","73.11","74.79","78.96","70.42","91.81M","-6.33%"
"Jul 22","78.05","82.10","82.46","69.51","100.24M","-2.86%"
"Jun 22","80.35","86.71","92.20","78.49","98.25M","-5.99%"
"May 22","85.47","75.38","88.32","74.22","89.20M","10.77%"
"Apr 22","77.16","73.37","81.70","71.08","119.97M","4.10%"
"Mar 22","74.12","70.34","87.84","67.73","277.72M","9.84%"
"Feb 22","67.48","61.91","70.24","61.58","141.86M","8.00%"
"Jan 22","62.48","53.97","62.99","53.94","109.38M","14.94%"
"Dec 21","54.36","49.09","55.73","46.16","140.97M","13.46%"
"Nov 21","47.91","57.91","58.04","46.47","150.35M","-16.17%"
"Oct 21","57.15","52.62","58.69","52.34","105.62M","8.73%"
"Sep 21","52.56","47.36","53.52","47.20","101.28M","9.41%"
"Aug 21","48.04","50.35","50.43","43.42","105.38M","-5.17%"
"Jul 21","50.66","51.21","51.40","45.02","105.68M","1.56%"
"Jun 21","49.88","46.58","50.37","45.97","114.44M","9.82%"
"May 21","45.42","43.56","45.93","42.32","109.61M","4.97%"
"Apr 21","43.27","41.47","44.61","39.52","121.66M","6.76%"
"Mar 21","40.53","41.30","44.64","39.27","173.30M","-1.89%"
"Feb 21","41.31","35.77","42.77","35.25","105.77M","17.42%"
"Jan 21","35.18","33.00","36.32","32.24","107.22M","6.57%"
"Dec 20","33.01","30.92","33.67","30.34","107.80M","6.59%"
"Nov 20","30.97","25.16","31.68","25.14","111.32M","22.65%"
"Oct 20","25.25","27.76","29.31","24.75","113.26M","-10.75%"
"Sep 20","28.29","30.64","30.94","26.27","101.88M","-7.49%"
"Aug 20","30.58","29.15","31.19","29.03","106.34M","5.19%"
"Jul 20","29.07","28.30","30.22","27.90","120.36M","3.60%"
"Jun 20","28.06","25.72","29.42","25.36","218.07M","8.42%"
"May 20","25.88","19.12","27.49","18.36","263.43M","35.36%"
"Apr 20","19.12","33.92","48.16","16.88","767.72M","-43.23%"
"Mar 20","33.68","77.36","81.40","32.24","266.60M","-55.45%"
"Feb 20","75.60","85.96","91.40","73.36","75.72M","-12.82%"
"Jan 20","86.72","102.40","106.56","85.60","62.47M","-15.38%"
"Dec 19","102.48","94.24","104.16","92.72","35.91M","10.24%"
"Nov 19","92.96","91.60","98.00","91.52","57.70M","2.83%"
"Oct 19","90.40","91.12","95.04","85.12","65.91M","-0.35%"
"Sep 19","90.72","88.72","105.28","87.92","82.31M","-1.05%"
"Aug 19","91.68","94.96","95.44","83.92","88.77M","-4.82%"
"Jul 19","96.32","99.52","101.00","90.96","70.89M","0.00%"
"Jun 19","96.32","90.40","99.44","84.24","76.65M","8.47%"
"May 19","88.80","106.24","106.44","88.32","75.98M","-16.48%"
"Apr 19","106.32","100.96","110.84","100.64","52.88M","6.32%"
"Mar 19","100.00","95.60","100.48","91.12","54.71M","4.60%"
"Feb 19","95.60","91.20","96.48","86.16","46.60M","5.29%"
"Jan 19","90.80","75.36","93.04","74.88","79.32M","17.49%"
"Dec 18","77.28","90.16","91.80","73.84","85.57M","-9.97%"
"Nov 18","85.84","110.88","110.88","84.08","105.95M","-22.19%"
"Oct 18","110.32","124.00","129.92","110.17","69.59M","-11.15%"
"Sep 18","124.16","118.80","124.56","112.57","38.38M","5.51%"
"Aug 18","117.68","112.72","118.64","107.52","52.59M","3.01%"
"Jul 18","114.24","120.00","122.00","110.08","59.39M","-5.18%"
"Jun 18","120.48","107.28","120.64","104.00","56.90M","11.14%"
"May 18","108.40","109.52","117.92","106.64","56.11M","-1.81%"
"Apr 18","110.40","103.84","112.00","99.76","46.73M","5.42%"
"Mar 18","104.72","98.08","106.40","96.64","53.49M","5.82%"
"Feb 18","98.96","104.64","106.08","93.19","56.04M","-4.70%"
"Jan 18","103.84","96.56","106.40","96.08","48.63M","8.08%"
"Dec 17","96.08","93.20","96.72","89.44","31.39M","4.71%"
"Nov 17","91.76","88.24","94.32","86.56","44.01M","4.94%"
"Oct 17","87.44","81.36","87.68","79.36","41.96M","4.79%"
"Sep 17","83.44","76.80","85.20","76.08","46.86M","8.31%"
"Aug 17","77.04","81.36","82.00","74.72","66.28M","-6.32%"
"Jul 17","82.24","76.40","82.56","72.00","78.20M","8.21%"
"Jun 17","76.00","80.08","81.28","69.20","95.47M","-4.62%"
"May 17","79.68","81.52","85.60","75.44","87.61M","-2.73%"
"Apr 17","81.92","84.92","90.08","80.32","59.66M","-3.76%"
"Mar 17","85.12","92.08","92.40","79.04","75.17M","-7.07%"
"Feb 17","91.60","91.36","93.20","88.32","48.21M","1.15%"
"Jan 17","90.56","95.84","96.00","88.51","53.35M","-3.41%"
"Dec 16","93.76","90.52","95.52","88.56","83.02M","7.23%"
"Nov 16","87.44","85.20","88.80","76.48","119.91M","3.80%"
"Oct 16","84.24","88.32","94.32","84.24","121.96M","-3.66%"
"Sep 16","87.44","81.52","88.24","78.56","122.95M","5.50%"
"Aug 16","82.88","76.96","91.00","73.84","92.72M","6.15%"
"Jul 16","78.08","92.16","94.24","76.40","61.37M","-15.64%"
"Jun 16","92.56","92.96","99.60","87.68","64.93M","-2.53%"
"May 16","94.96","89.92","97.04","85.04","59.73M","5.04%"
"Apr 16","90.40","75.28","92.00","71.92","94.13M","16.49%"
"Mar 16","77.60","71.84","86.40","71.12","109.44M","7.78%"
"Feb 16","72.00","74.76","77.20","61.36","136.91M","-6.74%"
"Jan 16","77.20","90.08","91.36","63.36","156.07M","-12.27%"
"Dec 15","88.00","103.36","104.88","84.16","93.10M","-14.93%"
"Nov 15","103.44","117.52","123.60","102.48","64.68M","-12.69%"
"Oct 15","118.48","121.20","129.59","108.88","76.80M","0.89%"
"Sep 15","117.44","123.84","126.80","113.28","76.74M","-7.61%"
"Aug 15","127.12","122.32","129.20","98.96","85.62M","1.92%"
"Jul 15","124.72","156.32","156.64","124.32","66.35M","-21.58%"
"Jun 15","159.04","162.88","166.40","153.84","41.67M","-2.12%"
"May 15","162.48","162.40","172.00","152.73","53.64M","-0.98%"
"Apr 15","164.08","136.00","164.40","135.44","72.10M","21.79%"
"Mar 15","134.72","145.04","152.80","124.88","82.54M","-6.96%"
"Feb 15","144.80","147.20","162.32","140.64","93.90M","1.57%"
"Jan 15","142.56","159.76","162.80","130.40","83.01M","-12.48%"
"Dec 14","162.88","202.48","211.12","158.72","60.34M","-20.41%"
"Nov 14","204.64","244.08","245.76","203.68","26.09M","-16.49%"
"Oct 14","245.04","276.80","279.84","241.28","22.06M","-10.99%"
"Sep 14","275.28","282.24","286.08","271.30","12.15M","-3.78%"
"Aug 14","286.08","288.96","292.44","276.64","9.09M","-1.53%"
"Jul 14","290.52","312.16","312.96","290.16","9.60M","-6.60%"
"Jun 14","311.04","300.16","315.48","297.68","5.75M","3.18%"
"May 14","301.44","288.24","306.16","287.68","5.18M","3.74%"
"Apr 14","290.56","291.60","302.48","285.04","7.18M","-0.74%"
"Mar 14","292.72","299.12","301.92","279.76","8.28M","-0.41%"
"Feb 14","293.92","278.40","296.88","274.88","8.88M","5.57%"
"Jan 14","278.40","277.52","281.44","261.44","14.63M","-1.47%"
"Dec 13","282.56","267.76","288.56","267.36","12.88M","5.56%"
"Nov 13","267.68","275.60","275.60","263.56","13.70M","-3.55%"
"Oct 13","277.52","292.88","300.72","276.72","17.33M","-5.86%"
"Sep 13","294.80","306.00","316.32","291.20","15.24M","-4.24%"
"Aug 13","307.84","304.80","315.68","290.80","18.46M","3.00%"
"Jul 13","298.88","276.88","308.96","275.68","16.33M","9.30%"
"Jun 13","273.44","263.44","280.44","262.28","13.04M","4.81%"
"May 13","260.88","258.96","276.72","256.96","17.94M","-1.66%"
"Apr 13","265.28","275.44","278.88","246.32","17.26M","-4.58%"
"Mar 13","278.00","261.28","278.72","257.28","10.66M","5.11%"
"Feb 13","264.48","280.16","284.16","263.68","12.00M","-6.29%"
"Jan 13","282.24","272.00","284.24","268.56","11.44M","5.72%"